SMILES,Name
CC#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0076
CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0077
CCc1ccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,MOL0078
CC(COC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1,MOL0079
CCc1ccccc1COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0080
CC(=CCOC(=O)c1ccc(S(N)(=O)=O)cc1)CO,MOL0081
CC(CCOC(=O)c1ccc(S(N)(=O)=O)cc1)N(C)C,MOL0082
C=CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0083
C#CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0084
CC(C)=CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0085
CC(C)(C)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0086
CC(C)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0087
CCC(C)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0088
CCC#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0089
CCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0090
C=CC=CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0091
CC=CC=CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0092
CC(C)(C)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0093
CCC=CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0094
CCC(C)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0095
CCC(CC)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0096
CCCC=CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0097
CCCC#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0098
CCCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0099
CC(C)CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0100
CCCCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0101
CC(C)C(COC(=O)c1ccc(S(N)(=O)=O)cc1)C(C)C,MOL0102
CC(C)CCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0103
CC(COC(=O)c1ccc(S(N)(=O)=O)cc1)CC(C)(C)C,MOL0104
CCCC=CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0105
CCCC(CCC)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0106
CCCCC=CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0107
CCCCC(CC)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0108
CCCCC#CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0109
CCCCCC=CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0110
CCCCCC#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0111
CCCCCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0112
CC(C)CCCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0113
CC(CCOC(=O)c1ccc(S(N)(=O)=O)cc1)CC(C)(C)C,MOL0114
CCCCCCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0115
CCC(CC)NCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0116
CC(C)(C)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0117
CC(C)(C)C(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0118
CCCCC(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0119
CCCCC(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0120
CC(C)(C)NCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0121
CC(C)CNC(C)(C)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0122
CC(C)(C)NCC(O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0123
CC(C)(C)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0124
CC(C)CNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0125
CCCCNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0126
CCCCN(COC(=O)c1ccc(S(N)(=O)=O)cc1)N=O,MOL0127
CC(C)(CO)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0128
CCC(CO)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0129
CCCCOCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0130
CC(C)C(O)C(C)(C)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0131
CCCCOC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0132
CC(C)(C)OC(=O)NCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0133
CC(C)C(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0134
CCCC(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0135
C=C(C)C(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0136
CC(C)C(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0137
CCCC(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0138
CC(COC(=O)c1ccc(S(N)(=O)=O)cc1)OC(=O)C(C)C,MOL0139
CCCC(=O)OC(C)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0140
C=C(Cl)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0141
CCC(COC(=O)c1ccc(S(N)(=O)=O)cc1)n1ccnc1,MOL0142
CC(C)N(C)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0143
CC(C)N(COC(=O)c1ccc(S(N)(=O)=O)cc1)C(C)C,MOL0144
CCCN(CC)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0145
CC(C)NCC(O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0146
C=CCNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0147
